Startup,Website,Round,SIREN,Money Raised Euros,Date,Description,City,Investor Names,Assigned Sectors
Inicio,https://www.go-inicio.com,Seed,,1461543.79,2023-10-05,,"Villeneuve, Provence-Alpes-Cote d'Azur, France, Europe","Better Angle, Isai, Kima Ventures","Artificial Intelligence, CleanTech, Energy"
VizioSense,https://viziosense.com/,Seed,,1451726.72,2023-05-11,,Lille,"Alacrité France, Beangels, Wesley Clover",Cybersecurity
ICTYOS,https://www.ictyos.com,Seed,,1450008.31,2023-05-05,,"Saint-fons, Rhone-Alpes, France, Europe","Demeter Partners, JBC2 SAS",Artificial Intelligence
Fundbot,https://fundbot.co,Seed,,1421904.1,2023-12-14,,Nice,"Aditum Ventures, F6 Ventures, Middle East Venture Partners (MEVP), Oryx Fund, Plus Venture Capital",Other
SPART,https://en.spart.life/,Seed,,1419390.24,2023-11-29,,Paris,"Finorpa, Jean-Bernard Falco","Artificial Intelligence, HealthTech"
Slean,https://www.slean.com/,Seed,,1413012.75,2023-04-17,,Paris,"Fermob, Manutan Group",Other
Lyko,https://lyko.tech/en/,Seed,,1406968.77,2023-11-14,,Lyon,"Afri Mobility, Habert Dassault Finance",Mobility
Drone Geofencing,https://drone-geofencing.fr,Seed,,1401748.89,2023-12-04,,"Rue, Picardie, France, Europe","Defense Angels, DOCARET, Les Business Angels des Grandes Écoles, MELIES Business Angels, Monday morning, Provence Business Angels, Sofilaro",Drones
Bocoloco,https://www.bocoloco.fr/,Seed,,1388049.7,2023-05-30,,Paris,Asterion Ventures,Artificial Intelligence
The Treep,https://www.thetreep.com/,Seed,,1387720.81,2023-02-06,,Paris,The Caisse des Dépôts,Mobility
IA Medical,https://ia-medical.com/,Seed,,1387270.88,2023-05-25,,Lyon,"Bpifrance, Klesia","HealthTech, MedTech"
4.71,https://471.fr,Seed,,1377481.52,2023-09-20,,"Clermont-ferrand, Auvergne, France, Europe","Crédit Agricole, UI Investissement",FinTech
INVYO,https://invyo.io/,Seed,,1374076.13,2023-10-11,,Paris,"Accurafy 4, Inovexus, Mandalore Partners","FinTech, Energy"
Encheres Immo,https://www.encheres-immo.com,Seed,,1368245.57,2023-10-31,,Paris,Tomcat Invest,PropTech
Spark Cleantech,http://spark-cleantech.eu,Seed,,1362746.67,2023-10-12,,"Gif-sur-yvette, Centre, France, Europe","Asterion Ventures, Wind","CleanTech, ClimateTech, Mobility"
Kenko,https://www.kenko.fr,Seed,,1345759.42,2023-07-19,,Paris,"Bloomstep, Bpifrance, WILCO","HealthTech, InsurTech"
Datintek,https://datintek.com/,Seed,,1336413.53,2023-04-28,,Marseille,,MarTech
