Organization Name,Organization Location,Funding Type,Money Raised,Money Raised Currency,Announced Date,Organization Website,Description,Investor Names,Sectors,SIREN
Shippeo,"Paris, Ile-de-France, France, Europe",Series C,40490000,EUR,2022-10-24,http://www.shippeo.com,Shippeo is an IT services company that expertise in real time multimodal transportation visibility to help shippers and logistics services.,"Battery Ventures, Bpifrance, ETF Partners, LFX Venture Partners, NGP Capital, Partech, SAP.iO, Yamaha Motor Ventures","B2B, Freight Service, SaaS, Shipping, Supply Chain Management",
Masteos,"Paris, Ile-de-France, France, Europe",Series A,40000000,EUR,2022-06-13,https://www.masteos.com/,Masteos is a rental investment advisory firm.,"Daphni, DST Global","Real Estate, Real Estate Investment, Rental Property",
Resilience,"Paris, Ile-de-France, France, Europe",Series A,40000000,EUR,2022-01-25,https://resilience.care,Resilience provides remote patient care monitoring to help improve cancer patients' quality of life and overall survival.,"Cathay Innovation, EXOR N.V., Fondation Santé Service, MACSF, Picus Capital, Ramsay Generale De Sante, Seaya, Singular, Vivalto Santé","Apps, Health Care, Oncology, Software",
Coinhouse,"Paris, Ile-de-France, France, Europe",Series B,40000000,EUR,2022-06-08,https://www.coinhouse.com,Coinhouse is the leading French platform for providing investment and payment services in Bitcoin and tens of other crypto assets.,"CF Partners, ConsenSys, Expon Capital, Motier Ventures, ODDO BHF, Raise Ventures, Siparex Groupe, The Sandbox, Tioga Capital Partners, True Global Ventures (TGV), XAnge","Banking, Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech, Information Technology, Payments, Web3",
SafeHeal,"Paris, Ile-de-France, France, Europe",Series B,40000000,EUR,2022-01-30,https://www.safeheal.com,"SafeHeal develops Colovac, an innovative solution for the protection of digestive anastomosis, designed to reduce anastomotic complications.","Genesis Medtech, Sofinnova Partners","Health Care, Medical, Medical Device",
Kayrros,"Paris, Ile-de-France, France, Europe",Series C,40000000,EUR,2022-03-22,https://www.kayrros.com/,Kayrros is an advanced data analytics company that helps global energy market participants make better investment decisions.,"Bpifrance, European Investment Bank, NewSpace Capital, Opera Tech Ventures","Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Energy, Geospatial, GPS, Image Recognition, Information Technology, Intelligent Systems, Machine Learning, Oil and Gas, Predictive Analytics, Real Time, Semantic Search",
Wandercraft,"Paris, Ile-de-France, France, Europe",Series C,40000000,EUR,2022-01-20,https://en.wandercraft.eu,Wandercraft develops autonomous walking exoskeletons designed to restore upright mobility to individuals with walking impairments.,"AG2R La Mondiale, Bpifrance, Cemag Invest, Eurazeo, LBO France, MACSF, Malakoff Humanis, Mutuelles Impact, Quadrant Management, Sofiouest, Teampact ventures, XAnge","Artificial Intelligence (AI), Health Care, Machinery Manufacturing, Manufacturing, Medical Device, Robotics",
Fifteen,"Oullins, Rhone-Alpes, France, Europe",,40000000,EUR,2022-03-07,https://fifteen.eu/,"Fifteen designs, installs, and manufactures self-service bike solutions and mobility services, integrated in a multimodal.","2050, Banque des Territoires, BNP Paribas Développement, C4 Ventures, Daphni, Eiffel Investment Group, Eric Carreel, Mobivia Groupe, Road Ventures","Rental, Ride Sharing, Transportation",
Alira Health,"Paris, Ile-de-France, France, Europe",,40000000,USD,2022-01-13,https://www.alirahealth.com,Alira Health is an international advisory firm.,Creadev,"Biotechnology, Consulting, Health Care",
LimFlow SA,"Paris, Ile-de-France, France, Europe",Series D,36000000,EUR,2022-04-05,http://www.limflow.com/,LimFlow SA is a venture-backed medical device company.,"Balestier, Bpifrance, Longitude Capital, Sofinnova Partners, Soleus Capital","Emergency Medicine, Health Care, Medical Device",
